##
##  Coefficients for analytical approximation to the atomic scattering factors
##  http://www.physics.fudan.edu.cn/tps/people/jzhao/Book&Paper/ITC-Vol.C.pdf
##  page 602, Table 6.1.1.4
##  
##  Calculation Formula for reproduce f(q) at any |q|, 
##  where q = 4*pi*sin(\theta)/(\lambda)
##  f(q) = sum_{k=1}^4 (a_k)exp(-(b_k)* (q/4pi)^2 ) + c
## 
##	Modify this file for different ions instead of modifying in PDBs
##
##  NA, MG, CL, K, CA, RB, SR, CS, BA are ions
##  Start of the table
##
##  Element  Method  a1      b1      a2      b2      a3      b3      a4      b4      c      max(e)      q/(4*pi)      mean(e)
##
##
##
H	HF	0.489918	20.6593	0.262003	7.74039	0.196767	49.5519	0.049879	2.20159	0.001305	0.000	0.17	0.00
C	RHF	2.31000	20.8439	1.02000	10.2075	1.58860	0.568700	0.865000	51.6512	0.215600	0.006	2.00	0.001
N	RHF	12.2126	0.005700	3.13220	9.89330	2.01250	28.9975	1.16630	0.582600	-11.529	0.007	0.11	0.002
O	RHF	3.04850	13.2771	2.28680	5.70110	1.54630	0.323900	0.867000	32.9089	0.250800	0.001	0.22	0.000
F	RHF	3.53920	10.2825	2.64120	4.29440	1.51700	0.261500	1.02430	26.1476	0.277600	0.001	0.01	0.000
NA	RHF	3.25650	2.66710	3.93620	6.11530	1.39980	0.200100	1.00320	14.0390	0.404000	0.001	0.70	0.000
MG	RHF	3.49880	2.16760	3.83780	4.75420	1.32840	0.185000	0.849700	10.1411	0.485300	0.001	1.34	0.000
P	RHF	6.43450	1.90670	4.17910	27.1570	1.78000	0.526000	1.49080	68.1645	1.11490	0.003	0.65	0.001
S	RHF	6.90530	1.46790	5.20340	22.2151	1.43790	0.253600	1.58630	56.1720	0.866900	0.005	0.67	0.002
CL	RHF	18.2915	0.006600	7.20840	1.17170	6.53370	19.5424	2.33860	60.4486	-16.378	0.007	0.76	0.003
K	RHF	7.95780	12.6331	7.49170	0.767400	6.35900	-0.00200	1.19150	31.9128	-4.9978	0.011	0.91	0.005
CA	RHF	15.6348	-0.00740	7.95180	0.608900	8.43720	10.3116	0.853700	25.9905	-14.875	0.017	2.00	0.004
RB	RHF	17.5816	1.71390	7.65980	14.7957	5.89810	0.160300	2.78170	31.2087	2.07820	0.002	1.99	0.001
SR	RHF	18.0874	1.49070	8.13730	12.6963	2.56540	24.5651	-34.193	-0.01380	41.4025	0.008	2.00	0.002
CS	RHF	20.3524	3.55200	19.1278	0.308600	10.2821	23.7128	0.961500	59.4565	3.27910	0.037	2.00	0.009
BA	DS	20.1807	3.21367	19.1136	0.283310	10.9054	20.0558	0.77634	51.7460	3.02902	0.029	2.00	0.007
